,Description,Release Date,Director Name,Rating,Duration,Genre,Stars,Filming Dates
Interstellar ,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,9 November 2014,Frank Darabont,8.6/10,2h 49min,"Crime, Drama, Fantasy","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",12 August 2013 - 19 December 2013
Parasite ,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,13 October 2019,Luc Besson,8.6/10,2h 12min,"Action, Crime, Drama","['Song Kang-Ho', 'Sun-kyun Lee', 'Yeo-jeong Jo']",27 May 2018 - 19 September 2018
Leon ,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",20 November 1994,Masaki Kobayashi,8.5/10,1h 50min,"Action, Drama, Mystery","['Jean Reno', 'Gary Oldman', 'Natalie Portman']",1 June 1993 - 7 October 1993
The Usual Suspects ,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",20 August 1995,Christopher Nolan,8.5/10,1h 46min,"Adventure, Drama, Sci-Fi","['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']",13 June 1994 - 29 July 1994
Harakiri ,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",not known,Bryan Singer,8.6/10,2h 13min,"Crime, Mystery, Thriller","['Tatsuya Nakadai', 'Akira Ishiham', 'Shima Iwashit']",not known
The Lion King ,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",19 June 1994,Roger Allers,8.5/10,1h 28min,"Animation, Adventure, Drama","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']",December 1992 - December 1993
The Pianist ,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,29 December 2002,Tony Kaye,8.5/10,2h 30min,Drama,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",19 February 2001 - July 2001
Back to the Future ,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",7 July 1985,Robert Zemeckis,8.5/10,1h 56min,"Adventure, Comedy, Sci-Fi","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']",26 November 1984 - 23 December 1984
Terminator 2: Judgment Day ,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",7 July 1991,Roman Polanski,8.5/10,2h 17min,"Biography, Drama, Music","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",9 October 1990 - 28 March 1991
American History X ,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,1 November 1998,Charles Chaplin,8.5/10,1h 59min,"Comedy, Drama, Family","['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",17 March 1997 - 21 May 1997
Modern Times ,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,28 December 2003,James Cameron,8.5/10,1h 27min,"Action, Sci-Fi","['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']",11 October 1934 - 30 August 1935
